date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:38	1451/1451	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Feb%202023%2010:42:38%20GMT	https://prettysnap.app/robots.txt		(from )
16:12:38	1964/1964	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202023%2010:42:38%20GMT	https://prettysnap.app/	C:/My%20Web%20Sites/prettysnap.app_/prettysnap.app/index.html	(from )
16:12:38	604/604	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b1b631cb200f191a24f9222a4a3e9ea8-ssl%22	https://prettysnap.app/favicon.5921a729.svg	C:/My%20Web%20Sites/prettysnap.app_/prettysnap.app/favicon.5921a729.svg	(from https://prettysnap.app/)
16:12:39	73535/73535	---M--	200	added ('OK')	image/jpeg	etag:%2260fd741a387c8e13636554c00406733f-ssl%22	https://prettysnap.app/banner.jpg	C:/My%20Web%20Sites/prettysnap.app_/prettysnap.app/banner.jpg	(from https://prettysnap.app/)
16:12:39	5801/5801	---M--	200	added ('OK')	image/jpeg	etag:%22d7931c7f85f348ea74a5f575985732ad-ssl%22	https://prettysnap.app/thumb.jpg	C:/My%20Web%20Sites/prettysnap.app_/prettysnap.app/thumb.jpg	(from https://prettysnap.app/)
16:12:39	1321/1321	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Feb%202023%2010:42:39%20GMT	https://plausible.io/js/plausible.js	C:/My%20Web%20Sites/prettysnap.app_/plausible.io/js/plausible.js	(from https://prettysnap.app/)
16:12:40	91305/91305	---MCZ	200	added ('OK')	text/css	etag:%22ef6da6ab8e192293af4d13d27bbdc2f8-ssl-df%22	https://prettysnap.app/src.8f416b8b.css	C:/My%20Web%20Sites/prettysnap.app_/prettysnap.app/src.8f416b8b.css	(from https://prettysnap.app/)
16:12:40	155634/155634	---MCZ	200	added ('OK')	application/javascript	etag:%22b6867e624867187eee8f01d86a336954-ssl-df%22	https://prettysnap.app/src.2392c28a.js	C:/My%20Web%20Sites/prettysnap.app_/prettysnap.app/src.2392c28a.js	(from https://prettysnap.app/)
